flower_id,question_id,features_size,feature
1,1,2,3
1,2,2,3
1,3,2,3
1,4,3,6
1,5,3,4
1,6,3,6
2,1,2,1
2,2,2,1
2,3,2,1
2,4,3,2
2,5,3,4
2,6,3,6
3,1,2,1
3,2,2,1
3,3,2,1
3,4,3,6
3,5,3,4
3,6,3,2
4,1,2,3
4,2,2,3
4,3,2,3
4,4,3,4
4,5,3,4
4,6,3,6
5,1,2,3
5,2,2,3
5,3,2,3
5,4,3,3
5,5,3,3
5,6,3,7
6,1,2,1
6,2,2,1
6,3,2,1
6,4,3,6
6,5,3,4
6,6,3,2
7,1,2,3
7,2,2,3
7,3,2,3
7,4,3,6
7,5,3,2
7,6,3,2
8,1,2,1
8,2,2,1
8,3,2,3
8,4,3,6
8,5,3,2
8,6,3,4
9,1,2,3
9,2,2,3
9,3,2,3
9,4,3,4
9,5,3,2
9,6,3,1
10,1,2,3
10,2,2,1
10,3,2,3
10,4,3,6
10,5,3,3
10,6,3,1
